,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
15961,1965-02-16,1965,2,16,47,46,,15.1,,,,,,,550.0,,,3.2,,,,,,Esthwaite water
47569,1965-02-23,1965,2,23,54,47,,1.92,,,,,,,460.0,,,3.75,,,,,,Windermere -south basin
6724,1965-02-23,1965,2,23,54,42,,4.7,,,,,,,500.0,,,3.1,,,,,,Belhalm tarn
45709,1965-02-23,1965,2,23,54,47,,0.69,,,,,,,420.0,,,3.95,,,,,,Windermere -north basin
15962,1965-02-23,1965,2,23,54,46,,20.33,,,,,,,550.0,,,3.0,,,,,,Esthwaite water
6725,1965-03-01,1965,3,1,60,42,,6.0,,,,,,,490.0,,,3.4,,,,,,Belhalm tarn
15963,1965-03-01,1965,3,1,60,46,,20.95,,,,,,,530.0,,,3.2,,,,,,Esthwaite water
45710,1965-03-01,1965,3,1,60,47,,0.66,,,,,,,410.0,,,3.85,,,,,,Windermere -north basin
47570,1965-03-01,1965,3,1,60,47,,1.86,,,,,,,450.0,,,3.6,,,,,,Windermere -south basin
15964,1965-03-08,1965,3,8,67,46,,13.25,,,,,,,590.0,,,,,,,,,Esthwaite water
45711,1965-03-08,1965,3,8,67,47,,1.64,,,,,,,410.0,,,3.15,,,,,,Windermere -north basin
47571,1965-03-08,1965,3,8,67,47,,3.31,,,,,,,430.0,,,3.2,,,,,,Windermere -south basin
24885,1965-03-09,1965,3,9,68,11,1.0,10.8,,,,,,,,,,,,,,,,Ullevifjärden S.
6726,1965-03-11,1965,3,11,70,42,,9.2,,,,,,,410.0,,,,,,,,,Belhalm tarn
47572,1965-03-15,1965,3,15,74,47,,4.23,,,,,,,440.0,,,3.6,,,,,,Windermere -south basin
15965,1965-03-15,1965,3,15,74,46,,9.97,,,,,,,540.0,,,3.2,,,,,,Esthwaite water
45712,1965-03-15,1965,3,15,74,47,,1.15,,,,,,,,,,3.65,,,,,,Windermere -north basin
6727,1965-03-15,1965,3,15,74,42,,12.3,,,,,,,480.0,,,4.1,,,,,,Belhalm tarn
45713,1965-03-22,1965,3,22,81,47,,1.15,,,,,,,470.0,,,3.85,,,,,,Windermere -north basin
15966,1965-03-22,1965,3,22,81,46,,10.05,,,,,,,520.0,,,4.0,,,,,,Esthwaite water
6728,1965-03-22,1965,3,22,81,42,,15.3,,,,,,,530.0,,,4.4,,,,,,Belhalm tarn
47573,1965-03-22,1965,3,22,81,47,,6.41,,,,,,,450.0,,,3.6,,,,,,Windermere -south basin
47574,1965-03-29,1965,3,29,88,47,,5.13,,,,,,,400.0,,,4.45,,,,,,Windermere -south basin
15967,1965-03-29,1965,3,29,88,46,,8.9,,,,,,,520.0,,,5.1,,,,,,Esthwaite water
